,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
122,0,62.67671232876712,-1000.6657534246576,1,0,1,1,2,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
123,0,50.205479452054796,3.441095890410959,1,0,0,0,2,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
129,0,48.145205479452045,15.868493150684932,1,1,1,0,2,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
132,0,57.405479452054784,23.79178082191781,1,1,1,0,2,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
135,0,33.78904109589041,2.356164383561644,1,1,1,0,2,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
136,0,40.18356164383562,2.1863013698630143,1,1,0,0,2,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
144,0,29.071232876712326,2.6904109589041094,1,0,1,0,2,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
145,0,52.27945205479452,14.364383561643837,1,0,1,0,1,False,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
146,0,38.90684931506849,5.860273972602741,1,0,1,0,2,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
147,1,27.279452054794522,2.5232876712328767,1,1,0,0,3,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
149,0,43.75342465753425,24.621917808219177,1,0,0,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
150,0,28.126027397260273,4.526027397260274,1,1,1,0,2,False,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
153,0,40.49589041095891,6.693150684931508,1,0,1,0,2,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
159,0,41.47945205479452,13.194520547945206,1,0,1,0,2,False,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
168,0,57.64657534246575,-1000.6657534246576,1,0,1,0,2,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
169,0,44.106849315068494,5.112328767123287,1,0,1,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
170,0,60.441095890410956,-1000.6657534246576,1,0,0,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
172,0,55.178082191780824,-1000.6657534246576,1,0,1,1,2,False,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
181,0,57.509589041095886,12.950684931506851,1,0,1,0,2,False,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
185,0,44.39178082191781,19.45205479452055,1,0,0,0,1,False,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
186,0,51.16164383561644,14.531506849315068,1,1,1,0,2,False,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
187,0,29.45205479452055,6.693150684931508,1,0,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
191,0,57.95890410958904,0.3561643835616438,1,0,1,0,2,False,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
192,0,53.950684931506856,14.446575342465751,1,1,1,0,2,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
193,0,40.73150684931507,1.6054794520547946,1,1,0,0,2,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
196,0,63.52602739726027,-1000.6657534246576,1,0,1,1,2,False,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
198,2,30.906849315068488,4.778082191780823,1,1,0,1,4,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
199,1,25.83561643835617,3.2739726027397262,1,1,0,0,3,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
201,0,40.32328767123288,15.282191780821917,1,0,1,0,2,False,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
203,0,30.252054794520546,8.695890410958905,1,0,0,0,1,False,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
206,1,34.26301369863014,1.356164383561644,1,1,0,0,3,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
212,0,56.44931506849315,0.6904109589041096,1,1,1,0,2,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
213,0,38.145205479452045,6.273972602739726,1,1,1,0,2,False,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
215,0,52.88767123287671,1.2712328767123289,1,1,1,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
216,0,22.416438356164388,3.608219178082192,1,1,0,0,1,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
217,0,64.32876712328768,-1000.6657534246576,1,0,0,0,2,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
219,0,47.32602739726028,3.6931506849315063,1,0,1,0,2,False,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
224,0,53.97808219178082,27.04109589041096,1,1,1,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
229,0,36.27671232876713,12.194520547945206,1,0,1,0,2,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
230,0,33.23287671232877,2.1863013698630143,1,0,0,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
231,2,26.67397260273973,7.863013698630137,1,0,0,0,4,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
234,0,44.37260273972603,17.035616438356165,1,1,1,0,2,False,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
236,0,32.07123287671233,3.1890410958904107,1,1,0,1,2,False,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
243,0,44.10958904109589,13.531506849315068,1,0,1,0,2,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
245,0,46.26849315068493,7.361643835616437,1,0,0,0,2,False,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
248,2,34.14520547945205,5.945205479452055,1,1,0,0,4,False,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
250,1,32.87123287671233,3.1095890410958904,1,1,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
251,0,37.232876712328775,2.6904109589041094,1,0,1,0,2,False,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
255,0,42.53972602739726,4.778082191780823,1,1,1,0,2,False,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
256,0,51.54246575342465,26.70684931506849,1,0,0,0,2,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
265,0,55.62191780821917,-1000.6657534246576,1,0,1,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
266,0,41.515068493150686,8.610958904109589,1,1,1,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
268,0,58.4,-1000.6657534246576,1,0,0,0,2,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
270,0,32.005479452054786,1.8575342465753424,1,0,0,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
271,0,39.38082191780822,2.1863013698630143,1,0,1,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
272,0,23.254794520547943,5.027397260273973,1,0,1,0,2,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
273,0,47.624657534246566,2.4383561643835616,1,1,1,0,2,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
275,0,36.863013698630134,7.528767123287671,1,1,1,0,2,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
276,1,35.26575342465753,10.191780821917806,1,1,0,0,3,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
277,2,33.63561643835617,2.6904109589041094,1,1,1,0,4,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
278,0,47.580821917808215,-1000.6657534246576,1,0,0,0,2,False,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
279,0,52.20821917808219,0.2712328767123288,1,1,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
282,0,52.89041095890411,9.03013698630137,1,1,0,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
284,0,52.89041095890411,9.03013698630137,1,1,0,0,2,True,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
286,0,27.095890410958905,5.608219178082192,1,0,1,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
287,0,58.7013698630137,-1000.6657534246576,1,0,1,0,2,False,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
289,0,23.257534246575347,2.5232876712328767,1,1,0,0,1,False,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
290,0,40.24383561643835,10.03013698630137,1,1,0,0,1,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
291,0,51.0958904109589,29.961643835616442,1,0,1,0,2,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
295,0,27.85205479452055,4.860273972602741,1,1,0,0,1,False,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
298,0,52.57808219178082,-1000.6657534246576,1,0,0,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
301,0,59.419178082191785,-1000.6657534246576,1,0,1,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
309,0,63.832876712328776,-1000.6657534246576,1,0,1,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
310,0,35.61369863013699,4.273972602739726,1,0,1,1,2,False,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
314,0,25.698630136986303,4.693150684931507,1,1,1,0,1,False,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
318,0,52.92054794520548,12.194520547945206,1,1,1,0,1,False,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
319,0,27.087671232876712,6.778082191780823,1,0,1,0,2,False,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
321,0,36.104109589041094,3.608219178082192,1,1,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
322,0,52.98904109589043,20.038356164383558,1,1,1,0,2,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
325,0,40.15616438356165,12.032876712328768,1,1,1,0,2,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
327,0,37.14246575342465,1.6054794520547946,1,1,1,0,2,False,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
328,0,37.14246575342465,1.6054794520547946,1,1,1,0,2,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
332,0,24.895890410958906,4.608219178082192,1,0,0,0,1,False,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
335,0,38.67945205479453,8.695890410958905,1,0,0,0,1,False,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
338,2,40.83835616438356,18.7013698630137,1,1,0,0,4,False,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
340,0,60.27945205479452,-1000.6657534246576,1,0,1,0,1,False,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
343,0,42.28767123287671,10.863013698630137,1,1,1,0,2,False,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
345,1,32.364383561643834,8.947945205479453,1,1,1,0,3,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
347,0,40.77534246575343,14.950684931506851,1,0,1,0,2,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
349,0,43.175342465753424,1.0246575342465754,1,1,0,0,2,False,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
351,0,28.589041095890412,4.693150684931507,1,1,0,0,2,False,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
354,0,35.945205479452056,15.282191780821917,1,0,0,0,2,False,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
356,0,34.61917808219178,1.1095890410958904,1,0,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
358,0,49.128767123287666,4.027397260273974,1,0,0,0,1,False,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
359,0,43.56438356164385,0.3561643835616438,1,1,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
360,0,33.649315068493145,1.1095890410958904,1,0,1,0,2,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
361,0,27.627397260273966,1.8575342465753424,1,0,0,0,2,False,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
364,0,28.153424657534245,1.523287671232877,1,1,1,0,1,False,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
370,0,39.876712328767134,3.3589041095890413,1,1,0,0,2,False,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
373,2,41.49041095890411,17.534246575342465,1,1,0,0,4,False,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
376,0,59.273972602739725,-1000.6657534246576,1,0,1,0,2,False,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
381,0,52.38356164383562,10.03013698630137,1,0,0,0,2,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
387,2,34.936986301369856,1.1863013698630136,1,0,1,0,4,False,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
390,0,54.67945205479453,20.45205479452055,1,0,0,0,2,False,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
393,2,29.34246575342466,6.441095890410958,1,0,0,0,4,True,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
394,2,29.34246575342466,6.441095890410958,1,0,0,0,4,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
395,0,23.23835616438356,4.112328767123287,1,1,0,1,1,False,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
396,2,34.76712328767123,12.194520547945206,1,0,0,0,4,False,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
399,0,44.04383561643836,21.038356164383558,1,0,0,0,2,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
402,1,45.51506849315069,8.863013698630136,1,0,0,0,3,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
403,0,56.558904109589044,10.610958904109587,1,0,0,0,2,False,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
408,0,62.649315068493145,-1000.6657534246576,1,0,0,0,1,False,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
411,0,46.134246575342466,10.115068493150686,1,0,0,0,2,False,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
412,1,38.19178082191781,1.6904109589041096,1,0,0,0,3,False,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
417,1,33.78082191780822,7.695890410958903,1,0,1,1,3,False,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
419,2,33.53972602739726,5.608219178082192,1,0,0,0,4,False,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
421,1,29.93424657534247,9.780821917808217,1,0,1,0,3,False,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
425,1,35.33150684931507,1.9424657534246572,1,0,0,0,2,False,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
427,0,29.67945205479452,6.860273972602741,1,0,0,1,1,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
429,0,56.936986301369856,6.358904109589042,1,0,0,0,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
431,0,60.605479452054794,-1000.6657534246576,1,0,1,0,2,False,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
432,0,59.969863013698635,23.2027397260274,1,1,0,0,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
437,0,50.613698630136994,8.276712328767124,1,0,0,1,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
439,0,46.50684931506849,6.860273972602741,1,0,1,1,1,False,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
440,0,45.405479452054784,12.531506849315068,1,0,0,0,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
444,0,50.37808219178083,21.45205479452055,1,0,0,0,1,False,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
446,0,45.909589041095884,9.610958904109587,1,0,0,0,2,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
448,2,34.295890410958904,3.1095890410958904,1,0,0,0,4,False,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
450,0,57.34520547945207,0.5232876712328767,1,0,1,1,2,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
452,0,28.23013698630137,4.608219178082192,1,0,0,0,2,False,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
453,2,37.0986301369863,10.863013698630137,1,0,0,0,4,False,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
454,0,61.85753424657535,-1000.6657534246576,1,0,0,0,2,False,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
456,0,60.597260273972594,-1000.6657534246576,1,0,0,0,2,False,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
459,0,58.27123287671233,-1000.6657534246576,1,0,0,1,1,False,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
462,0,38.82191780821917,2.5232876712328767,1,0,0,0,2,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
464,1,41.08219178082192,14.698630136986301,1,0,0,1,3,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
465,2,35.416438356164385,5.693150684931508,1,1,1,1,4,False,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
471,0,63.8,-1000.6657534246576,1,0,0,0,2,False,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
474,1,34.246575342465746,15.786301369863011,1,0,0,0,3,False,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
478,0,60.594520547945216,4.441095890410959,1,0,1,1,2,False,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
482,0,50.68767123287671,5.112328767123287,1,0,0,0,2,False,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
483,0,58.35616438356164,1.2712328767123289,1,0,0,0,2,False,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
